product_pn,category,product_name,bullet_1,bullet_2,bullet_3,datasheet_link,manual_link,product_page_url,price,thumbnail
SR551,Preamplifiers,High Impedance Preamplifier,>1 TΩ input impedance,Gain of x10,1 MHz bandwidth,https://www.thinksrs.com/downloads/pdfs/catalog/SR551c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR550551552m.pdf,https://www.thinksrs.com/products/sr551.html,750,sr551.png
SR554,Preamplifiers,Transformer Preamplifier,Transformer-coupled input,0.1 nV/√Hz input noise,For source impedances 0.05 Ω -- 1 kΩ,https://www.thinksrs.com/downloads/pdfs/catalog/SR554c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR554m.pdf,https://www.thinksrs.com/products/sr554.html,"2,695",sr554.jpg
SR556,Preamplifiers,Current Preamplifier,1 V/nA fixed gain,5 fA/√Hz input noise,Bias voltage input,https://www.thinksrs.com/downloads/pdfs/catalog/SR556c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR555556m.pdf,https://www.thinksrs.com/products/sr556.html,"1,095",sr556.jpg
SR470,Laser/Optical,Laser Shutter Controller,Microprocessor-controlled timing,"GPIB, RS-232, Ethernet",4 ms to 10 ks exposure (0.1 ms resolution),https://www.thinksrs.com/downloads/pdfs/catalog/SR470474c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR470m.pdf,https://www.thinksrs.com/products/sr470474.html,"1,995",sr470.jpg
SR475,Laser/Optical,Laser Shutter Head,Ultra-low vibration,>10 M cycle lifetime,Easy-to-align 3 mm aperture,https://www.thinksrs.com/downloads/pdfs/catalog/SR470474c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SR475_476m.pdf,https://www.thinksrs.com/products/sr470474.html,995,sr475.jpg
DG535,Timing,Delay Generator,Four channels,5 ps delay resolution,<100 ps rms jitter,https://www.thinksrs.com/downloads/pdfs/catalog/DG535c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/DG535m.pdf,https://www.thinksrs.com/products/dg535.html,"4,495",dg535.jpg
DG645,Timing,Delay Generator,"4 pulse, 8 delay outputs",Trigger rates to 10 MHz,<25 ps rms jitter,https://www.thinksrs.com/downloads/pdfs/catalog/DG645c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/DG645m.pdf,https://www.thinksrs.com/products/dg645.html,"4,995",dg645.jpg
SG396,Signal Generators,Vector RF Signal Generator,Up to 6 GHz output,Analog and vector modulation,I/Q modulation inputs,https://www.thinksrs.com/downloads/pdfs/catalog/SG390c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SG390m.pdf,https://www.thinksrs.com/products/sg390.html,"9,900",sg396.jpg
RGA120,Vacuum/Gas Analysis,Resigual Gas Analyzer,5&times;10<sup>-14</sup> Torr detection limit,New RGASoft Windows Software,"Built-in I/O, Relay, and GPIO signals",https://www.thinksrs.com/downloads/pdfs/catalog/RGA120c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/RGA120m.pdf,https://www.thinksrs.com/products/rga120.html,"5,450",rga120.png
SIM900,Small Instrument Modules,Mainframe,8 module slots,10 MHz Reference Input,"GPIB, RS-232",https://www.thinksrs.com/downloads/pdfs/catalog/SIM900c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM900m.pdf,https://www.thinksrs.com/products/sim900.html,"2,995",sim900.jpg
SIM921,Small Instrument Modules,AC Resistance Bridge,Accurate millikelvin thermometry,µV/pA excitation,Measurements from 1 mΩ to 100 MΩ,https://www.thinksrs.com/downloads/pdfs/catalog/SIM921c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM921m.pdf,https://www.thinksrs.com/products/sim921.html,"2,995",sim921.jpg
SIM928,Small Instrument Modules,Isolated Voltage Source,±20 V isolated voltage source,Ultra-low noise output,Battery lifetime: 1000 cycles,https://www.thinksrs.com/downloads/pdfs/catalog/SIM928c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM928m.pdf,https://www.thinksrs.com/products/sim928.html,"1,995",sim928.jpg
SIM960,Small Instrument Modules,Analog PID Controller,100 kHz bandwidth,"P, I, D & Offset settable to 0.5%",Anti-windup (fast saturation recovery),https://www.thinksrs.com/downloads/pdfs/catalog/SIM960c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM960m.pdf,https://www.thinksrs.com/products/sim960.html,"2,595",sim960.jpg
SIM965,Small Instrument Modules,Analog Bessel & Butterworth Filter,1 MHz bandwidth,Low-pass or High-pass,"12, 24, 36, or 48 dB/oct",https://www.thinksrs.com/downloads/pdfs/catalog/SIM965c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM965m.pdf,https://www.thinksrs.com/products/sim965.html,"2,295",sim965.jpg
SIM983,Small Instrument Modules,1 MHz Scaling Amplifier,Adjustable gain and offset,V = G&times;(V<sub>in</sub> + V<sub>os</sub>),1 MHz bandwidth,https://www.thinksrs.com/downloads/pdfs/catalog/SIM983c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM983m.pdf,https://www.thinksrs.com/products/sim983.html,"1,795",sim983.jpg
SIM984,Small Instrument Modules,Isolation Amplifier,Isolation voltage up to ±1000 V,1 MHz bandwidth,"Gain of x1, x10, or x100",https://www.thinksrs.com/downloads/pdfs/catalog/SIM984c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM984m.pdf,https://www.thinksrs.com/products/sim984.html,"1,795",sim984.jpg
SIM9B2,Small Instrument Modules,Double-wide Prototype Kit,Ideal for custom circuits,Integrate into SIM900 Mainframe,Also available in single-wide,https://www.thinksrs.com/downloads/pdfs/catalog/SIM9B19B2c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/SIM9B19B2m.pdf,https://www.thinksrs.com/products/sim9b19b2.html,150,sim9b1_9b2.jpg
BGA244,Vacuum/Gas Analysis,Binary Gas Analyzer,Gas concentration analyzer,Contains data for nearly 500 gases,0.01% typ. concentration error,https://www.thinksrs.com/downloads/pdfs/catalog/BGA244c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/BGA244m.pdf,https://www.thinksrs.com/products/bga244.html,"4,950",bga244.jpg
PS375,High Voltage Supplies,High Voltage DC Power Supply,+100 V to +20 kV,1 volt resolution,0.05% accuracy,https://www.thinksrs.com/downloads/pdfs/catalog/PS300c.pdf,https://www.thinksrs.com/downloads/pdfs/manuals/PS365m.pdf,https://www.thinksrs.com/products/ps300.html,"4,695",ps370.jpg
